date,ticker,name,close,volume
2024-01-02,AAPL,Apple Inc.,189.54,53474200
2024-01-03,AAPL,Apple Inc.,187.32,48212300
2024-01-04,AAPL,Apple Inc.,188.88,51120300
2024-01-05,AAPL,Apple Inc.,190.12,49811200
2024-01-08,AAPL,Apple Inc.,191.45,52200100
2024-01-09,AAPL,Apple Inc.,190.76,48732000
2024-01-10,AAPL,Apple Inc.,192.33,50311200
2024-01-11,AAPL,Apple Inc.,193.02,49500300
2024-01-12,AAPL,Apple Inc.,192.55,47822000
2024-01-15,AAPL,Apple Inc.,194.10,51233000
2024-01-16,AAPL,Apple Inc.,193.85,50112000
2024-01-17,AAPL,Apple Inc.,195.22,52311000
2024-01-18,AAPL,Apple Inc.,196.01,53422000
2024-01-19,AAPL,Apple Inc.,195.44,49833000
2024-01-22,AAPL,Apple Inc.,197.10,51200300
2024-01-23,AAPL,Apple Inc.,198.02,52110000
2024-01-24,AAPL,Apple Inc.,197.55,50933000
2024-01-25,AAPL,Apple Inc.,199.20,53321000
2024-01-26,AAPL,Apple Inc.,200.01,54411000
2024-01-29,AAPL,Apple Inc.,199.65,52233000
